"event","host_city","host_country","year","round","participant_name","song","participant_country","running_order","total_points","rank","qualified","winner","event_link"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Euroband","This Is My Life","Iceland",1,68,"8th",TRUE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Charlotte Perrelli","Hero","Sweden",2,54,"10th",TRUE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Mor ve Ötesi","Deli","Türkiye",3,85,"7th",TRUE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Ani Lorak","Shady Lady","Ukraine",4,152,"1st",TRUE,TRUE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Jeronimas Milius","Nomads In The Night","Lithuania",5,30,"16th",FALSE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Olta Boka","Zemrën E Lamë Peng","Albania",6,67,"9th",TRUE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Paolo Meneguzzi","Era Stupendo","Switzerland",7,47,"13th",FALSE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Tereza Kerndlová","Have Some Fun","Czechia",8,9,"18th",FALSE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Ruslan Alehno","Hasta La Vista","Belarus",9,27,"17th",FALSE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Pirates Of The Sea","Wolves Of The Sea","Latvia",10,86,"6th",TRUE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Kraljevi Ulice & 75 Cents","Romanca","Croatia",11,112,"4th",TRUE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Deep Zone & Balthazar","DJ, Take Me Away","Bulgaria",12,56,"12th",FALSE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Simon Mathew","All Night Long","Denmark",13,112,"3rd",TRUE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Diana Gurtskaya","Peace Will Come","Georgia",14,107,"5th",TRUE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Csézy","Candlelight","Hungary",15,6,"19th",FALSE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Morena","Vodka","Malta",16,38,"14th",FALSE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Evdokia Kadi","Femme Fatale","Cyprus",17,36,"15th",FALSE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Tamara, Vrčak & Adrijan","Let Me Love You","North Macedonia",18,64,"11th",FALSE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"belgrade 2008","Belgrade","Serbia",2008,"second semi final","Vânia Fernandes","Senhora Do Mar (Negras Águas)","Portugal",19,120,"2nd",TRUE,FALSE,"https://eurovision.tv/event/belgrade-2008"
"riga 2003","Riga","Latvia",2003,"final","Birgitta","Open Your Heart","Iceland",1,81,"8th",NA,FALSE,"https://eurovision.tv/event/riga-2003"
"riga 2003","Riga","Latvia",2003,"final","Alf Poier","Weil Der Mensch Zählt","Austria",2,101,"6th",NA,FALSE,"https://eurovision.tv/event/riga-2003"
"riga 2003","Riga","Latvia",2003,"final","Mickey Harte","Weve Got The World","Ireland",3,53,"11th",NA,FALSE,"https://eurovision.tv/event/riga-2003"
"riga 2003","Riga","Latvia",2003,"final","Sertab Erener","Everyway That I Can","Türkiye",4,167,"1st",NA,TRUE,"https://eurovision.tv/event/riga-2003"
